Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;16860;The Lancet Neurology;journal;14744465, 14744422;Elsevier Ltd;No;No;12,439;Q1;398;251;868;4925;9226;247;9,74;19,62;38,61;0;United Kingdom;Western Europe;Elsevier Ltd;2002-2026;Neurology (clinical) (Q1);Medicine
2;17700156408;Nature Reviews Neurology;journal;17594766, 17594758;Nature Research;No;No;7,083;Q1;244;122;444;8764;5581;261;12,13;71,84;51,6;0;United Kingdom;Western Europe;Nature Research;2009-2026;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
3;5700191214;Molecular Neurodegeneration;journal;17501326;BioMed Central Ltd;Yes;No;6,262;Q1;139;122;263;17784;4453;242;14,84;145,77;47,33;0;United Kingdom;Western Europe;BioMed Central Ltd;2006-2026;"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
4;21100228519;JAMA Neurology;journal;21686157, 21686149;American Medical Association;No;No;5,599;Q1;298;230;664;4976;7157;435;10,76;21,63;36,49;5;United States;Northern America;American Medical Association;2013-2026;Neurology (clinical) (Q1);Medicine
5;12499;Neuro-Oncology;journal;15228517, 15235866;Oxford University Press;No;No;5,249;Q1;189;286;738;13342;7168;543;9,63;46,65;41,81;0;United Kingdom;Western Europe;Oxford University Press;1999-2025;"Cancer Research (Q1); Neurology (clinical) (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
6;21100256102;Translational Neurodegeneration;journal;20479158;BioMed Central Ltd;Yes;No;4,992;Q1;77;71;175;9103;2947;153;15,12;128,21;42,5;0;United Kingdom;Western Europe;BioMed Central Ltd;2012-2026;"Cellular and Molecular Neuroscience (Q1); Cognitive Neuroscience (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
7;14317;Brain;journal;14602156, 00068950;Oxford University Press;No;No;4,746;Q1;406;443;1307;22873;13210;1053;9,66;51,63;45,59;0;United Kingdom;Western Europe;Oxford University Press;1878-1915, 1917-2026;"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)";Medicine
8;3600148102;Alzheimer's and Dementia;journal;15525279, 15525260;John Wiley and Sons Inc;No;No;4,53;Q1;194;1244;1938;72380;17963;1394;11,93;58,18;49,88;6;United States;Northern America;John Wiley and Sons Inc;2005-2026;"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience"
9;17552;Acta Neuropathologica;journal;00016322, 14320533;Springer Science and Business Media Deutschland GmbH;No;No;4,191;Q1;241;130;428;7665;3605;339;8,46;58,96;43,54;3;Germany;Western Europe;Springer Science and Business Media Deutschland GmbH;1961-2026;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)";"Medicine; Neuroscience"
10;19837;Sleep Medicine Reviews;journal;15322955, 10870792;W.B. Saunders Ltd;No;No;3,827;Q1;204;144;309;10728;3896;248;10,3;74,5;47,54;0;United Kingdom;Western Europe;W.B. Saunders Ltd;1997-2026;"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q1); Pulmonary and Respiratory Medicine (Q1)";"Medicine; Neuroscience"
